Takes 1.41555285454 seconds to evaluate 500 spectra with 5000 training values.

         7793609 function calls (7741824 primitive calls) in 64.609 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4951    0.019    0.000    0.108    0.000 transforms.py:2268(__init__)
      369    0.004    0.000    0.106    0.000 axis.py:557(_get_gridline)
     1258    0.004    0.000    0.106    0.000 transforms.py:1925(rotate_deg_around)
        1    0.000    0.000    0.104    0.104 imputation.py:4(<module>)
        1    0.001    0.001    0.104    0.104 __init__.py:335(<module>)
3397/1465    0.003    0.000    0.104    0.000 _base.py:709(get_yaxis_transform)
      402    0.003    0.000    0.104    0.000 _util.py:141(_asarray_validated)
      402    0.092    0.000    0.100    0.000 function_base.py:970(asarray_chkfinite)
        1    0.001    0.001    0.096    0.096 stats.py:167(<module>)
       75    0.001    0.000    0.095    0.001 pyplot.py:910(gca)
        1    0.031    0.031    0.095    0.095 _axes.py:1(<module>)
       76    0.001    0.000    0.092    0.001 figure.py:1317(gca)
      200    0.002    0.000    0.092    0.000 scale.py:137(transform_non_affine)
      402    0.002    0.000    0.092    0.000 function_base.py:857(average)
      476    0.005    0.000    0.090    0.000 _methods.py:53(_mean)
      402    0.001    0.000    0.089    0.000 {method 'mean' of 'numpy.ndarray' objects}
      183    0.001    0.000    0.087    0.000 axis.py:1251(_copy_tick_props)
     1558    0.004    0.000    0.085    0.000 transforms.py:2346(transform_affine)
       11    0.000    0.000    0.082    0.007 axis.py:1173(get_ticklabels)
       11    0.000    0.000    0.082    0.007 axis.py:1159(get_majorticklabels)
        1    0.002    0.002    0.082    0.082 distributions.py:8(<module>)
    18700    0.032    0.000    0.081    0.000 weakref.py:105(__setitem__)
    19302    0.038    0.000    0.081    0.000 weakref.py:183(itervalues)
88514/79850    0.050    0.000    0.080    0.000 artist.py:256(stale)
        3    0.001    0.000    0.080    0.027 corner.py:414(hist2d)
    15123    0.079    0.000    0.079    0.000 {method 'split' of 'str' objects}
      549    0.003    0.000    0.078    0.000 lines.py:1212(update_from)
     1571    0.025    0.000    0.078    0.000 lines.py:606(recache)
    14564    0.009    0.000    0.076    0.000 {method 'all' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.075    0.012 _axes.py:3710(scatter)
     5239    0.035    0.000    0.070    0.000 numeric.py:2279(identity)
     2030    0.014    0.000    0.070    0.000 font_manager.py:656(__init__)
     2516    0.011    0.000    0.070    0.000 transforms.py:1935(translate)
        3    0.000    0.000    0.069    0.023 backend_qt5.py:529(show)
        3    0.049    0.016    0.069    0.023 {built-in method show}
2833/1897    0.012    0.000    0.068    0.000 transforms.py:2370(get_affine)
       24    0.067    0.003    0.067    0.003 {posix.fork}
    14564    0.007    0.000    0.067    0.000 _methods.py:40(_all)
      607    0.006    0.000    0.066    0.000 validation.py:267(check_array)
        1    0.002    0.002    0.064    0.064 _continuous_distns.py:5(<module>)
     1470    0.022    0.000    0.064    0.000 core.py:2867(__array_finalize__)
      307    0.003    0.000    0.063    0.000 {__import__}
    93649    0.063    0.000    0.063    0.000 __init__.py:888(__getitem__)
    31112    0.021    0.000    0.062    0.000 numeric.py:414(asarray)
       89    0.003    0.000    0.061    0.001 _distn_infrastructure.py:1409(__init__)
    39694    0.051    0.000    0.060    0.000 UserDict.py:4(__init__)
      396    0.003    0.000    0.059    0.000 axis.py:361(_get_text1)
      201    0.001    0.000    0.058    0.000 validation.py:424(check_X_y)
        8    0.000    0.000    0.057    0.007 axis.py:1534(set_ticklabels)
    17566    0.048    0.000    0.056    0.000 cbook.py:696(is_string_like)
    13262    0.056    0.000    0.056    0.000 {numpy.core.multiarray.dot}
     2501    0.016    0.000    0.055    0.000 transforms.py:780(__init__)
        1    0.000    0.000    0.055    0.055 __init__.py:18(pylab_setup)
    15284    0.055    0.000    0.055    0.000 {zip}
        5    0.013    0.003    0.055    0.011 __init__.py:3(<module>)
     1090    0.003    0.000    0.054    0.000 {method 'view' of 'numpy.ndarray' objects}
      396    0.003    0.000    0.053    0.000 axis.py:378(_get_text2)
     1664    0.010    0.000    0.053    0.000 text.py:188(__init__)
        1    0.001    0.001    0.053    0.053 backend_qt4agg.py:3(<module>)
        5    0.000    0.000    0.053    0.011 pyplot.py:3237(scatter)
        3    0.002    0.001    0.053    0.018 base.py:1(<module>)
        2    0.001    0.000    0.053    0.026 __init__.py:14(<module>)
123264/123262    0.045    0.000    0.052    0.000 {isinstance}
        1    0.006    0.006    0.052    0.052 backend_qt5agg.py:3(<module>)
       53    0.001    0.000    0.052    0.001 _base.py:1697(add_line)
      369    0.003    0.000    0.051    0.000 axis.py:498(_get_text1)
     2347    0.024    0.000    0.050    0.000 core.py:2841(_update_from)
     4965    0.039    0.000    0.050    0.000 artist.py:86(__init__)
     1002    0.004    0.000    0.050    0.000 markers.py:698(_set_tickup)
        1    0.002    0.002    0.049    0.049 __init__.py:106(<module>)
     1714    0.009    0.000    0.049    0.000 transforms.py:2394(__init__)
        1    0.024    0.024    0.049    0.049 textpath.py:3(<module>)
      102    0.001    0.000    0.048    0.000 _distn_infrastructure.py:703(_construct_doc)
        1    0.000    0.000    0.048    0.048 figure.py:838(add_axes)
        1    0.009    0.009    0.048    0.048 rcsetup.py:15(<module>)
      285    0.018    0.000    0.047    0.000 doccer.py:12(docformat)
      174    0.004    0.000    0.047    0.000 patches.py:479(draw)
3722/2263    0.005    0.000    0.046    0.000 transforms.py:2300(_invalidate_internal)
      112    0.000    0.000    0.046    0.000 _base.py:378(_grab_next_args)
       25    0.000    0.000    0.046    0.002 _base.py:1662(add_collection)
        1    0.033    0.033    0.046    0.046 widgets.py:10(<module>)
       56    0.002    0.000    0.046    0.001 _base.py:333(_plot_args)
      200    0.009    0.000    0.046    0.000 core.py:6413(power)
      369    0.002    0.000    0.045    0.000 axis.py:513(_get_text2)
      607    0.004    0.000    0.045    0.000 validation.py:45(_assert_all_finite)
     1002    0.004    0.000    0.045    0.000 markers.py:704(_set_tickdown)
      200    0.001    0.000    0.045    0.000 core.py:3963(__truediv__)
        1    0.004    0.004    0.045    0.045 backend_qt5.py:1(<module>)
    54743    0.042    0.000    0.044    0.000 {getattr}
      324    0.001    0.000    0.044    0.000 backend_agg.py:143(draw_path)
      912    0.003    0.000    0.043    0.000 transforms.py:2680(_revalidate)
        6    0.000    0.000    0.042    0.007 _base.py:2870(get_xticklabels)
      324    0.031    0.000    0.042    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      200    0.011    0.000    0.042    0.000 core.py:1112(__call__)
     1066    0.005    0.000    0.042    0.000 cbook.py:555(process)
    18826    0.028    0.000    0.041    0.000 dviread.py:157(_arg)
      894    0.003    0.000    0.041    0.000 markers.py:690(_set_tickright)
      607    0.001    0.000    0.041    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.003    0.003    0.041    0.041 figureoptions.py:8(<module>)
      610    0.001    0.000    0.040    0.000 _methods.py:31(_sum)
     4308    0.015    0.000    0.040    0.000 artist.py:841(update)
      762    0.001    0.000    0.040    0.000 backend_agg.py:122(draw_markers)
        5    0.000    0.000    0.040    0.008 _base.py:3132(get_yticklabels)
      818    0.001    0.000    0.039    0.000 lines.py:919(get_path)
      762    0.036    0.000    0.039    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1416    0.003    0.000    0.039    0.000 transforms.py:1905(rotate_deg)
        6    0.000    0.000    0.039    0.006 collections.py:183(get_datalim)
        1    0.001    0.001    0.038    0.038 formlayout.py:34(<module>)
      894    0.003    0.000    0.038    0.000 markers.py:684(_set_tickleft)
       73    0.006    0.000    0.038    0.001 _base.py:2130(autoscale_view)
        2    0.003    0.001    0.038    0.019 __init__.py:6(<module>)
        5    0.000    0.000    0.038    0.008 _base.py:3157(set_yticklabels)
        1    0.037    0.037    0.037    0.037 qt_compat.py:2(<module>)
      762    0.001    0.000    0.037    0.000 transforms.py:2694(get_transformed_points_and_affine)
     1280    0.006    0.000    0.036    0.000 transforms.py:2528(__init__)
        1    0.000    0.000    0.036    0.036 add_newdocs.py:10(<module>)
     1416    0.017    0.000    0.036    0.000 transforms.py:1888(rotate)
        6    0.000    0.000    0.036    0.006 path.py:960(get_path_collection_extents)
     5239    0.028    0.000    0.036    0.000 twodim_base.py:192(eye)
        6    0.030    0.005    0.036    0.006 {matplotlib._path.get_path_collection_extents}
        6    0.000    0.000    0.036    0.006 contour.py:1415(__init__)
        6    0.000    0.000    0.036    0.006 contour.py:768(__init__)
       53    0.001    0.000    0.035    0.001 _base.py:275(_makeline)
   549645    0.035    0.000    0.035    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.035    0.012 _axes.py:5025(pcolor)
      355    0.002    0.000    0.035    0.000 cbook.py:410(__call__)
  754/377    0.003    0.000    0.034    0.000 transforms.py:2378(inverted)
        1    0.019    0.019    0.034    0.034 fontconfig_pattern.py:7(<module>)
30000/15000    0.031    0.000    0.033    0.000 npyio.py:841(pack_items)
      353    0.004    0.000    0.031    0.000 backend_bases.py:2826(mouse_move)
      551    0.001    0.000    0.031    0.000 re.py:230(_compile)
        1    0.000    0.000    0.031    0.031 validation.py:1(<module>)
        1    0.000    0.000    0.031    0.031 fixes.py:5(<module>)
    15021    0.031    0.000    0.031    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        3    0.000    0.000    0.030    0.010 collections.py:845(__init__)
      109    0.000    0.000    0.030    0.000 re.py:192(compile)
        1    0.000    0.000    0.030    0.030 type_check.py:3(<module>)
        3    0.006    0.002    0.030    0.010 collections.py:870(set_verts)
      109    0.001    0.000    0.030    0.000 sre_compile.py:567(compile)
      992    0.004    0.000    0.029    0.000 transforms.py:1426(transform_path_non_affine)
        1    0.020    0.020    0.029    0.029 contour.py:4(<module>)
3050/3008    0.007    0.000    0.028    0.000 transforms.py:2545(get_matrix)
     1961    0.002    0.000    0.028    0.000 transforms.py:1661(transform)
